fdid,path,status,error,detail,chunked,skel,n_vertices,n_bones,n_sequences,n_skins,n_lod_skins,n_particles,checks_failed
123304,creature/cratecreature/cratecreature.m2,ok,,,1,0,768,41,13,1,0,5,
123306,creature/cratecreature/cratecreaturebasic.m2,ok,,,1,0,162,21,5,1,0,0,
123307,creature/crawler/crawler.m2,ok,,,1,0,739,56,18,2,0,0,
123320,creature/crawlerelite/crawlerelite.m2,ok,,,1,0,884,56,18,2,0,2,
123324,creature/crocodile/crocodile.m2,ok,,,1,0,712,81,22,2,0,0,
123329,creature/cryptfiend/cryptfiend.m2,ok,,,1,0,885,90,52,2,0,0,
123335,creature/cryptlord/cryptlord.m2,ok,,,1,0,2315,84,22,2,0,1,
123337,creature/cryptlord/cryptlord_underground.m2,ok,,,1,0,2263,73,4,2,0,0,
123343,creature/cryptscarab/crypt_scarab.m2,ok,,,1,0,619,64,23,2,0,0,
123344,creature/crystalportal/crystalportal.m2,ok,,,1,0,278,28,4,1,0,6,
123345,creature/cupid/cupid.m2,ok,,,1,0,1061,71,17,2,0,0,
123348,creature/darkhound/darkhound.m2,ok,,,1,0,416,58,18,2,0,0,
123355,creature/deathknightmount/deathknightmount.m2,ok,,,1,0,1922,80,45,2,0,6,
123362,creature/deer/deer.m2,ok,,,1,0,284,47,12,2,0,0,
123366,creature/demolishercannonball/demolishercannonball.m2,ok,,,1,0,20,1,1,1,0,0,
123367,creature/demolishervehicle/demolishervehicle.m2,ok,,,1,0,5481,104,11,2,0,28,
123371,creature/demonform/demonform.m2,ok,,,1,0,3843,146,91,4,0,18,
123372,creature/demonhunter/demonhunter.m2,ok,,,1,0,1252,96,24,3,0,5,
123375,creature/diablo/diablofunsized.m2,ok,,,1,0,1531,121,18,4,0,12,
123377,creature/diemetradon/diemetradon.m2,ok,,,1,0,731,85,14,2,0,0,
123382,creature/direfurbolg/direfurbolg.m2,ok,,,1,0,1248,69,73,2,0,0,
123388,creature/direwolf/direwolf.m2,ok,,,1,0,693,65,37,2,0,0,
123410,creature/direwolf/pvpridingdirewolf.m2,ok,,,1,0,1216,64,38,2,0,0,
123418,creature/direwolf/ridingdirewolf.m2,ok,,,1,0,758,66,38,2,0,0,
123441,creature/doomguard/doomguard.m2,ok,,,1,0,844,87,55,2,0,0,
123443,creature/doomguardoutland/doomguardoutland.m2,ok,,,1,0,1974,89,55,2,0,4,
123455,creature/draeneifemalekid/draeneifemalekid.m2,ok,,,1,0,1051,62,32,2,0,0,
123457,creature/draeneimalekid/draeneimalekid.m2,ok,,,1,0,1039,62,31,2,0,0,
123459,creature/dragon/dragon.m2,ok,,,1,0,2098,147,36,4,0,0,
123460,creature/dragon/dragonazurgoz.m2,ok,,,1,0,2815,142,62,4,0,0,
123461,creature/dragon/dragonnefarian.m2,ok,,,1,0,2848,143,36,4,0,0,
123465,creature/dragon/dragononyxia.m2,ok,,,1,0,2732,145,97,4,0,0,
